uid smoi rep sr update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 7200 10000 9005 9005 0 0.0960374 0.0960374 -nan -0.114464 -0.114464 -nan -0.0963252 10000
1_10 1 10 500 7300 10000 9004 9004 0 0.0928141 0.0928141 -nan -0.0860441 -0.0860441 -nan -0.1019 10000
1_10 1 10 500 7400 10000 9032 9032 0 0.0917794 0.0917794 -nan -0.0981405 -0.0981405 -nan -0.0850785 10000
1_10 1 10 500 7500 10000 8962 8962 0 0.0957158 0.0957158 -nan -0.0838432 -0.0838432 -nan -0.0807073 10000
1_10 1 10 500 7600 10000 9000 9000 0 0.0934818 0.0934818 -nan -0.0917443 -0.0917443 -nan -0.0816578 10000
1_10 1 10 500 7700 10000 8994 8994 0 0.0953171 0.0953171 -nan -0.0709295 -0.0709295 -nan -0.0838473 10000
1_10 1 10 500 7800 10000 9013 9013 0 0.0949861 0.0949861 -nan -0.0600523 -0.0600523 -nan -0.0683628 10000
1_10 1 10 500 7900 10000 9118 9118 0 0.0925952 0.0925952 -nan -0.0840406 -0.0840406 -nan -0.0927086 10000
1_10 1 10 500 8000 10000 9055 9055 0 0.0921542 0.0921542 -nan -0.0822131 -0.0822131 -nan -0.0967142 10000
1_10 1 10 500 8100 10000 9062 9062 0 0.0911847 0.0911847 -nan -0.0929126 -0.0929126 -nan -0.0899136 10000
1_10 1 10 500 8200 10000 8983 8983 0 0.0949344 0.0949344 -nan -0.0807077 -0.0807077 -nan -0.0811725 10000
1_10 1 10 500 8300 10000 8991 8991 0 0.0917242 0.0917242 -nan -0.0784447 -0.0784447 -nan -0.0862235 10000
1_10 1 10 500 8400 10000 9046 9046 0 0.0944929 0.0944929 -nan -0.101374 -0.101374 -nan -0.0955585 10000
1_10 1 10 500 8500 10000 9015 9015 0 0.0917119 0.0917119 -nan -0.0739616 -0.0739616 -nan -0.0800957 10000
1_10 1 10 500 8600 10000 8963 8963 0 0.0987774 0.0987774 -nan -0.113314 -0.113314 -nan -0.0847221 10000
1_10 1 10 500 8700 10000 8995 8995 0 0.094785 0.094785 -nan -0.0833169 -0.0833169 -nan -0.0898749 10000
1_10 1 10 500 8800 10000 8984 8984 0 0.0933239 0.0933239 -nan -0.0777261 -0.0777261 -nan -0.0786908 10000
