uid smoi rep sym_res_dis update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 7400 10000 12590 5706 6884 0.638923 0.53979 0.721092 0.211031 0.154317 0.258041 0.856347 10000
1_10 1 10 500 7500 10000 12610 5717 6893 0.63883 0.542895 0.718397 0.211566 0.157944 0.256039 0.84616 10000
1_10 1 10 500 7600 10000 12594 5773 6821 0.63263 0.54204 0.709302 0.209201 0.157869 0.252647 0.853642 10000
1_10 1 10 500 7700 10000 12583 5748 6835 0.629467 0.529423 0.713601 0.212765 0.158457 0.258436 0.857381 10000
1_10 1 10 500 7800 10000 12681 5948 6733 0.60879 0.50977 0.696265 0.207644 0.153908 0.255115 0.852959 10000
1_10 1 10 500 7900 10000 12645 5870 6775 0.629511 0.525267 0.719829 0.209387 0.152853 0.25837 0.852767 10000
1_10 1 10 500 8000 10000 12664 5942 6722 0.624494 0.52965 0.708333 0.209265 0.154733 0.25747 0.859523 10000
1_10 1 10 500 8100 10000 12610 5789 6821 0.629971 0.534853 0.710698 0.206707 0.151686 0.253402 0.853486 10000
1_10 1 10 500 8200 10000 12558 5759 6799 0.626995 0.529614 0.709481 0.217038 0.161622 0.263978 0.852409 10000
1_10 1 10 500 8300 10000 12593 5764 6829 0.633478 0.531316 0.719708 0.21132 0.157411 0.256822 0.846677 10000
1_10 1 10 500 8400 10000 12560 5876 6684 0.610806 0.506583 0.702431 0.210314 0.157889 0.2564 0.855042 10000
1_10 1 10 500 8500 10000 12685 5716 6969 0.630853 0.532992 0.711118 0.210126 0.154912 0.255413 0.852679 10000
1_10 1 10 500 8600 10000 12533 5742 6791 0.637244 0.533094 0.725306 0.220733 0.169552 0.264009 0.865065 10000
1_10 1 10 500 8700 10000 12396 5603 6793 0.643797 0.548009 0.722805 0.219625 0.163559 0.26587 0.852355 10000
1_10 1 10 500 8800 10000 12556 5771 6785 0.623192 0.513909 0.716143 0.211914 0.161065 0.255163 0.844026 10000
1_10 1 10 500 8900 10000 12669 6020 6649 0.595251 0.503265 0.678536 0.211482 0.163627 0.254811 0.851347 10000
1_10 1 10 500 9000 10000 12574 5782 6792 0.625519 0.53264 0.704586 0.209385 0.156362 0.254523 0.857564 10000
1_10 1 10 500 9100 10000 12490 5841 6649 0.613927 0.50985 0.705356 0.209935 0.154336 0.258777 0.853202 10000
1_10 1 10 500 9200 10000 12627 5830 6797 0.613467 0.510793 0.701533 0.215589 0.16281 0.260859 0.856017 10000
1_10 1 10 500 9300 10000 12637 5899 6738 0.614147 0.512767 0.702903 0.213355 0.16377 0.256766 0.845552 10000
1_10 1 10 500 9400 10000 12541 5786 6755 0.627746 0.5282 0.713011 0.214474 0.159683 0.261405 0.846112 10000
1_10 1 10 500 9500 10000 12572 5828 6744 0.624084 0.518213 0.715576 0.212109 0.161135 0.25616 0.851503 10000
1_10 1 10 500 9600 10000 12563 5725 6838 0.633707 0.534659 0.716634 0.216835 0.163798 0.261239 0.854258 10000
1_10 1 10 500 9700 10000 12657 5913 6744 0.623009 0.526088 0.707987 0.211352 0.15724 0.258797 0.857624 10000
1_10 1 10 500 9800 10000 12527 5766 6761 0.618816 0.523965 0.699708 0.212092 0.16618 0.251247 0.855171 10000
1_10 1 10 500 9900 10000 12601 5795 6806 0.631048 0.525492 0.720925 0.20949 0.151191 0.259129 0.8494 10000
1_10 1 10 500 10000 10000 12639 5834 6805 0.625409 0.516584 0.718707 0.212652 0.158484 0.25909 0.857687 10000
1_10 1 10 500 10100 10000 12688 5965 6723 0.613821 0.502684 0.712427 0.199841 0.144382 0.249047 0.842553 10000
1_10 1 10 500 10200 10000 12548 5762 6786 0.625519 0.528301 0.708068 0.21872 0.165238 0.264131 0.859807 10000
1_10 1 10 500 10300 10000 12584 5712 6872 0.63416 0.532594 0.718582 0.210588 0.156532 0.255519 0.851356 10000
1_10 1 10 500 10400 10000 12538 5730 6808 0.633969 0.536653 0.715876 0.212923 0.161959 0.255818 0.862808 10000
1_10 1 10 500 10500 10000 12548 5773 6775 0.629703 0.526776 0.717407 0.212122 0.159563 0.256907 0.857327 10000
1_10 1 10 500 10600 10000 12657 5802 6855 0.626834 0.52983 0.708937 0.207815 0.153338 0.253924 0.853672 10000
1_10 1 10 500 10700 10000 12542 5723 6819 0.632398 0.535271 0.713914 0.213609 0.157726 0.26051 0.855067 10000
1_10 1 10 500 10800 10000 12562 5925 6637 0.600626 0.504126 0.686774 0.214375 0.163082 0.260166 0.848064 10000
1_10 1 10 500 10900 10000 12585 5773 6812 0.625982 0.52769 0.709282 0.211043 0.163156 0.251625 0.846571 10000
1_10 1 10 500 11000 10000 12602 5784 6818 0.615885 0.521196 0.696213 0.212943 0.163865 0.254578 0.851421 10000
1_10 1 10 500 11100 10000 12678 5831 6847 0.630954 0.538659 0.709554 0.215388 0.166825 0.256745 0.851672 10000
1_10 1 10 500 11200 10000 12595 5802 6793 0.622648 0.525018 0.706036 0.214507 0.163515 0.25806 0.858247 10000
1_10 1 10 500 11300 10000 12547 5847 6700 0.617736 0.514154 0.70813 0.20821 0.150823 0.258291 0.848898 10000
1_10 1 10 500 11400 10000 12531 5747 6784 0.626986 0.527664 0.711127 0.210221 0.151726 0.259775 0.852957 10000
1_10 1 10 500 11500 10000 12618 5795 6823 0.627097 0.528753 0.710624 0.215865 0.163801 0.260084 0.862051 10000
1_10 1 10 500 11600 10000 12487 5719 6768 0.633163 0.528883 0.72128 0.211536 0.155506 0.258881 0.849071 10000
1_10 1 10 500 11700 10000 12576 5800 6776 0.619556 0.518109 0.706391 0.211347 0.162386 0.253256 0.845501 10000
1_10 1 10 500 11800 10000 12489 5710 6779 0.636084 0.535677 0.720658 0.209625 0.153736 0.2567 0.85178 10000
1_10 1 10 500 11900 10000 12554 5747 6807 0.623032 0.51892 0.710931 0.214438 0.158572 0.261604 0.850847 10000
1_10 1 10 500 12000 10000 12539 5849 6690 0.615107 0.516808 0.701049 0.218979 0.171594 0.260407 0.853 10000
1_10 1 10 500 12100 10000 12512 5745 6767 0.628468 0.535618 0.707295 0.210923 0.159017 0.254989 0.846592 10000
1_10 1 10 500 12200 10000 12631 5673 6958 0.654598 0.557019 0.734155 0.219734 0.166605 0.263051 0.859739 10000
1_10 1 10 500 12300 10000 12590 5826 6764 0.635921 0.527254 0.729518 0.216392 0.166661 0.259227 0.856138 10000
1_10 1 10 500 12400 10000 12491 5775 6716 0.6284 0.535915 0.707927 0.216088 0.168536 0.256977 0.860591 10000
1_10 1 10 500 12500 10000 12631 5827 6804 0.619841 0.520653 0.704786 0.209343 0.160005 0.251597 0.85086 10000
1_10 1 10 500 12600 10000 12559 5877 6682 0.617484 0.518127 0.704871 0.215722 0.165456 0.259933 0.85458 10000
1_10 1 10 500 12700 10000 12658 5860 6798 0.625365 0.534521 0.703675 0.208763 0.155079 0.255041 0.857436 10000
1_10 1 10 500 12800 10000 12602 5812 6790 0.635911 0.537471 0.720173 0.210638 0.157425 0.256187 0.851488 10000
1_10 1 10 500 12900 10000 12630 5852 6778 0.621238 0.519716 0.70889 0.209694 0.155343 0.256618 0.857891 10000
1_10 1 10 500 13000 10000 12496 5735 6761 0.633051 0.53735 0.714229 0.217153 0.167324 0.25942 0.849564 10000
1_10 1 10 500 13100 10000 12647 5915 6732 0.627872 0.516124 0.726058 0.20659 0.143946 0.261631 0.856324 10000
1_10 1 10 500 13200 10000 12641 5955 6686 0.608691 0.506985 0.699278 0.212571 0.161234 0.258295 0.857542 10000
1_10 1 10 500 13300 10000 12695 6031 6664 0.598457 0.498422 0.688989 0.212648 0.160866 0.259512 0.85054 10000
1_10 1 10 500 13400 10000 12539 5694 6845 0.640063 0.539958 0.723335 0.210969 0.159197 0.254036 0.854176 10000
1_10 1 10 500 13500 10000 12577 5783 6794 0.639743 0.534982 0.728915 0.207171 0.144705 0.260342 0.851684 10000
1_10 1 10 500 13600 10000 12478 5683 6795 0.63195 0.53492 0.713101 0.209819 0.156239 0.254631 0.850302 10000
1_10 1 10 500 13700 10000 12499 5768 6731 0.624648 0.525334 0.709752 0.214522 0.156391 0.264336 0.852664 10000
1_10 1 10 500 13800 10000 12398 5571 6827 0.656447 0.555114 0.739137 0.215109 0.161672 0.258715 0.852438 10000
1_10 1 10 500 13900 10000 12548 5727 6821 0.630628 0.524845 0.719445 0.208523 0.150536 0.257209 0.841693 10000
1_10 1 10 500 14000 10000 12446 5718 6728 0.637274 0.536684 0.722763 0.208394 0.154266 0.254397 0.857248 10000
1_10 1 10 500 14100 10000 12494 5718 6776 0.638805 0.531104 0.729689 0.216516 0.161774 0.262711 0.854687 10000
1_10 1 10 500 14200 10000 12548 5815 6733 0.628037 0.536108 0.707433 0.215534 0.16668 0.257727 0.862194 10000
1_10 1 10 500 14300 10000 12729 5846 6883 0.628348 0.534506 0.708052 0.20832 0.155436 0.253236 0.853417 10000
1_10 1 10 500 14400 10000 12571 5800 6771 0.617286 0.518752 0.701689 0.206316 0.153544 0.251521 0.847161 10000
1_10 1 10 500 14500 10000 12522 5680 6842 0.640103 0.545745 0.718437 0.210765 0.161433 0.251719 0.84917 10000
1_10 1 10 500 14600 10000 12556 5757 6799 0.633244 0.532789 0.718303 0.214794 0.162775 0.258841 0.859013 10000
1_10 1 10 500 14700 10000 12561 5699 6862 0.637559 0.543181 0.715941 0.209569 0.15584 0.254191 0.853865 10000
1_10 1 10 500 14800 10000 12610 5657 6953 0.638768 0.544685 0.715315 0.21521 0.164969 0.256087 0.854103 10000
1_10 1 10 500 14900 10000 12546 5784 6762 0.631917 0.528591 0.7203 0.213208 0.158042 0.260396 0.857012 10000
1_10 1 10 500 15000 10000 12674 5882 6792 0.620922 0.522736 0.705953 0.208647 0.154301 0.255711 0.850676 10000
1_10 1 10 500 15100 10000 12519 5729 6790 0.636774 0.538619 0.719591 0.211142 0.157733 0.256205 0.856089 10000
1_10 1 10 500 15200 10000 12532 5851 6681 0.615054 0.515648 0.70211 0.214546 0.165057 0.257886 0.849362 10000
1_10 1 10 500 15300 10000 12612 5870 6742 0.617313 0.513866 0.70738 0.211316 0.154934 0.260406 0.857207 10000
1_10 1 10 500 15400 10000 12581 5644 6937 0.645924 0.545094 0.72796 0.207112 0.146724 0.256245 0.852905 10000
1_10 1 10 500 15500 10000 12586 5749 6837 0.641664 0.54504 0.722911 0.212428 0.159753 0.25672 0.858775 10000
1_10 1 10 500 15600 10000 12595 5950 6645 0.608634 0.507715 0.698998 0.209649 0.151387 0.261817 0.852346 10000
1_10 1 10 500 15700 10000 12629 5806 6823 0.624221 0.530703 0.7038 0.210512 0.158055 0.25515 0.847212 10000
1_10 1 10 500 15800 10000 12662 5916 6746 0.618098 0.512481 0.710721 0.209424 0.15408 0.257959 0.851984 10000
1_10 1 10 500 15900 10000 12474 5734 6740 0.636576 0.538987 0.719599 0.214779 0.162626 0.259148 0.85676 10000
1_10 1 10 500 16000 10000 12562 5881 6681 0.609577 0.524929 0.684089 0.205102 0.154236 0.249877 0.844069 10000
1_10 1 10 500 16100 10000 12568 5716 6852 0.643861 0.547258 0.724449 0.20913 0.152727 0.256181 0.854866 10000
1_10 1 10 500 16200 10000 12565 5833 6732 0.62288 0.520979 0.711172 0.214164 0.161463 0.259827 0.85498 10000
1_10 1 10 500 16300 10000 12654 5855 6799 0.616111 0.53093 0.689464 0.209719 0.158603 0.253737 0.859096 10000
1_10 1 10 500 16400 10000 12512 5711 6801 0.636298 0.535068 0.721304 0.208329 0.154029 0.253926 0.849501 10000
1_10 1 10 500 16500 10000 12600 5765 6835 0.63367 0.531386 0.719942 0.210424 0.155581 0.256682 0.852055 10000
