uid smoi rep sr update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 7700 10000 12660 5832 6828 0.613469 0.516601 0.696207 0.213756 0.163595 0.256599 0.854055 10000
1_10 1 10 500 7800 10000 12611 5800 6811 0.629963 0.535159 0.710694 0.213736 0.162034 0.257764 0.86053 10000
1_10 1 10 500 7900 10000 12530 5844 6686 0.60369 0.504715 0.6902 0.208965 0.15791 0.25359 0.851867 10000
1_10 1 10 500 8000 10000 12603 5743 6860 0.631935 0.53685 0.711537 0.21426 0.162684 0.257438 0.85466 10000
1_10 1 10 500 8100 10000 12631 5754 6877 0.640078 0.539458 0.724268 0.212907 0.156174 0.260375 0.854642 10000
1_10 1 10 500 8200 10000 12600 5800 6800 0.6286 0.537765 0.706077 0.213253 0.157454 0.260846 0.858947 10000
1_10 1 10 500 8300 10000 12660 5822 6838 0.62675 0.534646 0.705169 0.212384 0.161609 0.255615 0.855621 10000
1_10 1 10 500 8400 10000 12605 5777 6828 0.636736 0.53685 0.721247 0.210058 0.148779 0.261905 0.855682 10000
1_10 1 10 500 8500 10000 12490 5721 6769 0.647382 0.546836 0.732361 0.217124 0.166189 0.260173 0.856463 10000
1_10 1 10 500 8600 10000 12610 5743 6867 0.645428 0.540985 0.732776 0.210397 0.159486 0.252975 0.857725 10000
1_10 1 10 500 8700 10000 12524 5701 6823 0.637373 0.537898 0.720489 0.208767 0.150261 0.257652 0.855669 10000
1_10 1 10 500 8800 10000 12619 5705 6914 0.643187 0.547711 0.721967 0.206005 0.150368 0.251912 0.857152 10000
1_10 1 10 500 8900 10000 12444 5742 6702 0.643882 0.53795 0.73464 0.218981 0.166016 0.264359 0.85626 10000
1_10 1 10 500 9000 10000 12623 5633 6990 0.648745 0.559852 0.720382 0.204872 0.152416 0.247144 0.853098 10000
1_10 1 10 500 9100 10000 12484 5665 6819 0.639146 0.534171 0.726356 0.213256 0.161102 0.256583 0.850381 10000
1_10 1 10 500 9200 10000 12555 5834 6721 0.630098 0.537571 0.710415 0.213376 0.164062 0.256181 0.85543 10000
1_10 1 10 500 9300 10000 12535 5723 6812 0.634244 0.52686 0.72446 0.209922 0.150168 0.260124 0.847577 10000
1_10 1 10 500 9400 10000 12604 5795 6809 0.626946 0.526252 0.712644 0.210497 0.157993 0.255183 0.851157 10000
1_10 1 10 500 9500 10000 12389 5496 6893 0.653491 0.557934 0.729681 0.213837 0.158071 0.258301 0.855391 10000
1_10 1 10 500 9600 10000 12592 5713 6879 0.637012 0.533799 0.72273 0.210226 0.155188 0.255934 0.854498 10000
1_10 1 10 500 9700 10000 12530 5768 6762 0.630937 0.541048 0.707612 0.212132 0.161628 0.255212 0.856906 10000
1_10 1 10 500 9800 10000 12638 5779 6859 0.637458 0.540006 0.719566 0.210864 0.156963 0.256277 0.847768 10000
1_10 1 10 500 9900 10000 12648 5667 6981 0.654046 0.553417 0.735735 0.21023 0.155897 0.254336 0.860492 10000
1_10 1 10 500 10000 10000 12616 5889 6727 0.62061 0.515238 0.712855 0.213754 0.160661 0.260233 0.848337 10000
1_10 1 10 500 10100 10000 12469 5744 6725 0.61409 0.513814 0.699737 0.2146 0.16136 0.260074 0.848411 10000
1_10 1 10 500 10200 10000 12698 5861 6837 0.627897 0.528915 0.712749 0.210024 0.155393 0.256857 0.854339 10000
1_10 1 10 500 10300 10000 12415 5701 6714 0.6364 0.526076 0.730078 0.206235 0.146485 0.25697 0.852355 10000
1_10 1 10 500 10400 10000 12504 5740 6764 0.636036 0.528397 0.72738 0.207611 0.15015 0.256374 0.859432 10000
1_10 1 10 500 10500 10000 12612 5857 6755 0.620503 0.516814 0.710407 0.211952 0.157741 0.258957 0.857336 10000
1_10 1 10 500 10600 10000 12657 5929 6728 0.603389 0.499291 0.695125 0.209763 0.15898 0.254514 0.856672 10000
1_10 1 10 500 10700 10000 12374 5596 6778 0.660693 0.559256 0.744441 0.211829 0.157969 0.256296 0.856285 10000
1_10 1 10 500 10800 10000 12529 5856 6673 0.618402 0.514827 0.709296 0.210992 0.158098 0.257411 0.85051 10000
1_10 1 10 500 10900 10000 12529 5687 6842 0.655288 0.55704 0.736952 0.214616 0.158634 0.261148 0.861946 10000
1_10 1 10 500 11000 10000 12555 5822 6733 0.618395 0.517382 0.70574 0.207197 0.15549 0.251908 0.84664 10000
1_10 1 10 500 11100 10000 12642 5797 6845 0.63099 0.52752 0.718619 0.206499 0.146474 0.257333 0.852176 10000
1_10 1 10 500 11200 10000 12636 5736 6900 0.627278 0.531208 0.707141 0.212965 0.15957 0.257353 0.858975 10000
1_10 1 10 500 11300 10000 12577 5838 6739 0.631377 0.527074 0.721736 0.211046 0.157978 0.257018 0.849643 10000
1_10 1 10 500 11400 10000 12509 5668 6841 0.646795 0.545433 0.730777 0.217229 0.160754 0.26402 0.859952 10000
1_10 1 10 500 11500 10000 12541 5821 6720 0.616677 0.516958 0.703056 0.21698 0.166374 0.260816 0.849837 10000
1_10 1 10 500 11600 10000 12481 5659 6822 0.646458 0.54988 0.726572 0.214397 0.158038 0.261148 0.853836 10000
1_10 1 10 500 11700 10000 12604 5825 6779 0.629781 0.534808 0.711389 0.211988 0.160446 0.256277 0.859494 10000
1_10 1 10 500 11800 10000 12655 5849 6806 0.617971 0.52228 0.700207 0.208318 0.150287 0.258188 0.844808 10000
1_10 1 10 500 11900 10000 12563 5808 6755 0.613578 0.517335 0.696329 0.220024 0.171341 0.261883 0.857149 10000
1_10 1 10 500 12000 10000 12502 5742 6760 0.632355 0.535813 0.714358 0.21819 0.164709 0.263616 0.85843 10000
1_10 1 10 500 12100 10000 12443 5647 6796 0.636296 0.539695 0.716565 0.214559 0.160234 0.259699 0.855691 10000
1_10 1 10 500 12200 10000 12544 5784 6760 0.627946 0.535617 0.706945 0.211558 0.160364 0.255361 0.845493 10000
1_10 1 10 500 12300 10000 12692 5841 6851 0.627076 0.524823 0.714254 0.211252 0.159494 0.25538 0.857588 10000
1_10 1 10 500 12400 10000 12552 5642 6910 0.652712 0.549854 0.736696 0.214773 0.158831 0.26045 0.852544 10000
1_10 1 10 500 12500 10000 12600 5889 6711 0.623199 0.507261 0.724937 0.210396 0.149342 0.263971 0.851956 10000
1_10 1 10 500 12600 10000 12556 5658 6898 0.647412 0.550527 0.72688 0.206573 0.152667 0.250788 0.852783 10000
1_10 1 10 500 12700 10000 12565 5770 6795 0.631986 0.533331 0.715759 0.210573 0.159908 0.253595 0.848901 10000
1_10 1 10 500 12800 10000 12516 5807 6709 0.630607 0.526368 0.720832 0.21491 0.16222 0.260516 0.854378 10000
1_10 1 10 500 12900 10000 12438 5785 6653 0.613118 0.523609 0.69095 0.21776 0.170638 0.258734 0.844623 10000
1_10 1 10 500 13000 10000 12658 5782 6876 0.641338 0.530358 0.734661 0.206664 0.146362 0.257372 0.858195 10000
1_10 1 10 500 13100 10000 12585 5820 6765 0.620828 0.522954 0.705029 0.214777 0.16142 0.260681 0.857437 10000
1_10 1 10 500 13200 10000 12563 5698 6865 0.640262 0.550901 0.714432 0.208526 0.154119 0.253684 0.854875 10000
1_10 1 10 500 13300 10000 12580 5685 6895 0.635177 0.548635 0.706533 0.20578 0.157617 0.24549 0.858955 10000
1_10 1 10 500 13400 10000 12598 5858 6740 0.600065 0.502694 0.684695 0.214627 0.163498 0.259066 0.848663 10000
1_10 1 10 500 13500 10000 12620 5907 6713 0.606931 0.510067 0.692164 0.213917 0.16205 0.259556 0.852327 10000
1_10 1 10 500 13600 10000 12526 5740 6786 0.627162 0.529514 0.709758 0.208353 0.152458 0.255633 0.851541 10000
1_10 1 10 500 13700 10000 12664 5860 6804 0.617243 0.51579 0.704619 0.20496 0.146639 0.25519 0.850137 10000
1_10 1 10 500 13800 10000 12653 5895 6758 0.624495 0.521095 0.71469 0.214472 0.163419 0.259006 0.860112 10000
1_10 1 10 500 13900 10000 12516 5825 6691 0.627069 0.525007 0.715921 0.216029 0.164379 0.260993 0.855078 10000
1_10 1 10 500 14000 10000 12506 5727 6779 0.623853 0.531972 0.701475 0.208985 0.152879 0.256385 0.847338 10000
1_10 1 10 500 14100 10000 12493 5714 6779 0.629768 0.533246 0.711126 0.219528 0.170648 0.260729 0.861138 10000
1_10 1 10 500 14200 10000 12541 5729 6812 0.653334 0.552452 0.738178 0.213843 0.159778 0.259312 0.861951 10000
1_10 1 10 500 14300 10000 12580 5699 6881 0.641791 0.538597 0.727258 0.210147 0.156395 0.254665 0.844642 10000
1_10 1 10 500 14400 10000 12669 5806 6863 0.616649 0.525371 0.69387 0.206 0.152385 0.251358 0.845357 10000
1_10 1 10 500 14500 10000 12553 5788 6765 0.62392 0.517039 0.715366 0.210224 0.151141 0.260775 0.851629 10000
1_10 1 10 500 14600 10000 12603 5790 6813 0.633158 0.538107 0.713937 0.217119 0.16281 0.263274 0.858239 10000
1_10 1 10 500 14700 10000 12679 5872 6807 0.6178 0.512823 0.708358 0.216 0.164391 0.26052 0.854466 10000
1_10 1 10 500 14800 10000 12731 5914 6817 0.613778 0.51343 0.700834 0.205292 0.148822 0.254281 0.851277 10000
1_10 1 10 500 14900 10000 12588 5797 6791 0.622462 0.522331 0.707937 0.208018 0.152595 0.255328 0.851619 10000
1_10 1 10 500 15000 10000 12509 5745 6764 0.624147 0.524125 0.709101 0.21848 0.162653 0.265896 0.854966 10000
1_10 1 10 500 15100 10000 12559 5659 6900 0.643073 0.540937 0.726839 0.206458 0.148095 0.254324 0.847597 10000
1_10 1 10 500 15200 10000 12597 5810 6787 0.625839 0.524044 0.712981 0.211124 0.153705 0.260277 0.848861 10000
1_10 1 10 500 15300 10000 12633 5837 6796 0.628195 0.524086 0.717613 0.20474 0.147481 0.25392 0.848242 10000
1_10 1 10 500 15400 10000 12473 5744 6729 0.63245 0.519435 0.728923 0.215934 0.159983 0.263695 0.853752 10000
1_10 1 10 500 15500 10000 12508 5719 6789 0.628962 0.528825 0.713316 0.212084 0.156686 0.258751 0.848475 10000
1_10 1 10 500 15600 10000 12789 6035 6754 0.599736 0.496133 0.69231 0.212714 0.159828 0.259969 0.853233 10000
1_10 1 10 500 15700 10000 12557 5866 6691 0.609426 0.509104 0.697378 0.213957 0.160678 0.260668 0.856584 10000
1_10 1 10 500 15800 10000 12555 5752 6803 0.631332 0.532228 0.715126 0.214179 0.157471 0.262126 0.853768 10000
1_10 1 10 500 15900 10000 12533 5829 6704 0.629314 0.526508 0.718703 0.215984 0.16733 0.258287 0.850052 10000
1_10 1 10 500 16000 10000 12580 5873 6707 0.618618 0.509982 0.713745 0.216718 0.162715 0.264006 0.854043 10000
1_10 1 10 500 16100 10000 12609 5753 6856 0.633217 0.53561 0.715121 0.212169 0.158216 0.257442 0.8594 10000
1_10 1 10 500 16200 10000 12597 5737 6860 0.630601 0.53658 0.70923 0.21132 0.159752 0.254445 0.856287 10000
1_10 1 10 500 16300 10000 12614 5975 6639 0.58989 0.484389 0.68484 0.207144 0.153025 0.25585 0.856353 10000
1_10 1 10 500 16400 10000 12671 5867 6804 0.621895 0.523563 0.706686 0.20876 0.155497 0.254687 0.848555 10000
1_10 1 10 500 16500 10000 12660 5863 6797 0.621985 0.51799 0.711689 0.204096 0.146303 0.253948 0.852325 10000
