uid smoi rep sym_res_dis update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 9600 10000 13187 5761 7426 0.630772 0.520267 0.716501 0.248841 0.184168 0.299014 0.859689 10000
1_10 1 10 500 9700 10000 13161 5685 7476 0.640927 0.535824 0.720851 0.2432 0.178023 0.292762 0.857959 10000
1_10 1 10 500 9800 10000 13188 5820 7368 0.634231 0.525623 0.72002 0.247709 0.18284 0.29895 0.860299 10000
1_10 1 10 500 9900 10000 13189 5730 7459 0.633918 0.526696 0.716286 0.242984 0.17908 0.292076 0.856247 10000
1_10 1 10 500 10000 10000 13224 5821 7403 0.619684 0.518414 0.699313 0.24988 0.191154 0.296056 0.855934 10000
1_10 1 10 500 10100 10000 13254 5812 7442 0.623528 0.528353 0.697858 0.242397 0.180601 0.290658 0.854964 10000
1_10 1 10 500 10200 10000 13253 5848 7405 0.622635 0.512412 0.709683 0.247275 0.187243 0.294685 0.855453 10000
1_10 1 10 500 10300 10000 13199 5839 7360 0.62283 0.515149 0.708257 0.247848 0.186556 0.296474 0.862951 10000
1_10 1 10 500 10400 10000 13082 5632 7450 0.635321 0.53271 0.712893 0.253089 0.191979 0.299287 0.859 10000
1_10 1 10 500 10500 10000 13289 5836 7453 0.625875 0.515493 0.712308 0.248087 0.185755 0.296895 0.860686 10000
1_10 1 10 500 10600 10000 13051 5587 7464 0.652914 0.546862 0.732296 0.24985 0.184195 0.298994 0.860696 10000
1_10 1 10 500 10700 10000 13241 5807 7434 0.637656 0.531584 0.720513 0.25083 0.18739 0.300385 0.865206 10000
1_10 1 10 500 10800 10000 13236 5780 7456 0.637307 0.526031 0.72357 0.24881 0.18406 0.299005 0.855541 10000
1_10 1 10 500 10900 10000 13281 5854 7427 0.625429 0.512481 0.714456 0.248744 0.187503 0.297014 0.849513 10000
1_10 1 10 500 11000 10000 13151 5676 7475 0.652502 0.551793 0.728973 0.250887 0.194411 0.29377 0.867743 10000
1_10 1 10 500 11100 10000 13058 5654 7404 0.654105 0.543404 0.73864 0.248293 0.183525 0.297753 0.859708 10000
1_10 1 10 500 11200 10000 13219 5759 7460 0.639064 0.536744 0.718054 0.25142 0.193772 0.295923 0.857947 10000
1_10 1 10 500 11300 10000 13129 5656 7473 0.645535 0.541776 0.724066 0.248971 0.186794 0.296029 0.860212 10000
1_10 1 10 500 11400 10000 13155 5741 7414 0.622052 0.522592 0.699068 0.250774 0.188871 0.298708 0.863158 10000
1_10 1 10 500 11500 10000 13160 5662 7498 0.63899 0.531392 0.720241 0.249666 0.188744 0.29567 0.858334 10000
1_10 1 10 500 11600 10000 13089 5620 7469 0.651354 0.54349 0.732515 0.250022 0.186626 0.297724 0.868383 10000
1_10 1 10 500 11700 10000 13037 5714 7323 0.629351 0.517226 0.71684 0.244611 0.175396 0.298619 0.856091 10000
1_10 1 10 500 11800 10000 13160 5601 7559 0.652779 0.545374 0.732362 0.248796 0.187319 0.294348 0.861113 10000
1_10 1 10 500 11900 10000 13124 5677 7447 0.654494 0.548755 0.7351 0.247807 0.185052 0.295646 0.866087 10000
1_10 1 10 500 12000 10000 13084 5654 7430 0.649017 0.546227 0.727236 0.248402 0.188484 0.293998 0.867415 10000
1_10 1 10 500 12100 10000 13139 5660 7479 0.637893 0.541506 0.710837 0.246767 0.184804 0.29366 0.858517 10000
1_10 1 10 500 12200 10000 13295 5839 7456 0.624949 0.512431 0.713064 0.24227 0.175196 0.294799 0.859095 10000
1_10 1 10 500 12300 10000 13072 5697 7375 0.638735 0.5369 0.717401 0.247467 0.18974 0.29206 0.857335 10000
1_10 1 10 500 12400 10000 13281 5921 7360 0.622912 0.497917 0.723468 0.245154 0.17775 0.29938 0.859261 10000
1_10 1 10 500 12500 10000 13195 5782 7413 0.63908 0.532228 0.722422 0.252632 0.190368 0.301196 0.862242 10000
1_10 1 10 500 12600 10000 13191 5768 7423 0.630986 0.524391 0.713815 0.244811 0.18015 0.295056 0.859684 10000
1_10 1 10 500 12700 10000 13180 5724 7456 0.639124 0.543708 0.712375 0.248318 0.192941 0.290831 0.860526 10000
1_10 1 10 500 12800 10000 13367 5907 7460 0.617114 0.512654 0.699828 0.250334 0.189781 0.298282 0.865373 10000
