uid smoi rep sym_res_dis update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 7900 10000 12502 5637 6865 0.661133 0.557267 0.74642 0.213656 0.155317 0.26156 0.861841 10000
1_10 1 10 500 8000 10000 12491 5647 6844 0.648626 0.548238 0.731457 0.210416 0.152377 0.258305 0.853137 10000
1_10 1 10 500 8100 10000 12447 5670 6777 0.645596 0.545308 0.729502 0.214741 0.167757 0.25405 0.852782 10000
1_10 1 10 500 8200 10000 12607 5829 6778 0.622295 0.521759 0.708754 0.212598 0.158109 0.259458 0.858732 10000
1_10 1 10 500 8300 10000 12589 5790 6799 0.635001 0.543973 0.712521 0.214228 0.157388 0.262632 0.854479 10000
1_10 1 10 500 8400 10000 12654 5867 6787 0.620499 0.522664 0.705073 0.211711 0.159933 0.256471 0.854762 10000
1_10 1 10 500 8500 10000 12532 5809 6723 0.626983 0.519352 0.719981 0.209649 0.155121 0.256765 0.852341 10000
1_10 1 10 500 8600 10000 12493 5697 6796 0.629957 0.530449 0.713373 0.212202 0.158864 0.256915 0.853284 10000
1_10 1 10 500 8700 10000 12556 5757 6799 0.631688 0.532047 0.716058 0.211946 0.160771 0.255278 0.853934 10000
1_10 1 10 500 8800 10000 12583 5793 6790 0.636078 0.537109 0.720515 0.211057 0.153729 0.259967 0.849807 10000
1_10 1 10 500 8900 10000 12589 5737 6852 0.632613 0.533621 0.715496 0.214426 0.163598 0.256983 0.841196 10000
1_10 1 10 500 9000 10000 12582 5719 6863 0.633397 0.540134 0.711114 0.214227 0.160928 0.258643 0.858364 10000
1_10 1 10 500 9100 10000 12631 5895 6736 0.617802 0.518855 0.704396 0.207166 0.148433 0.258566 0.852088 10000
1_10 1 10 500 9200 10000 12623 5908 6715 0.607844 0.508056 0.69564 0.209278 0.153344 0.25849 0.857901 10000
1_10 1 10 500 9300 10000 12547 5753 6794 0.627401 0.529627 0.710193 0.208753 0.146962 0.261077 0.851286 10000
1_10 1 10 500 9400 10000 12472 5768 6704 0.631236 0.526626 0.72124 0.213511 0.158571 0.26078 0.85302 10000
1_10 1 10 500 9500 10000 12624 5808 6816 0.627162 0.526837 0.71265 0.214577 0.158346 0.262491 0.858037 10000
1_10 1 10 500 9600 10000 12833 5993 6840 0.60979 0.510485 0.696798 0.202852 0.14523 0.25334 0.845506 10000
1_10 1 10 500 9700 10000 12601 5797 6804 0.619537 0.521084 0.703419 0.212318 0.163395 0.254001 0.850352 10000
1_10 1 10 500 9800 10000 12565 5762 6803 0.642028 0.542853 0.726028 0.208596 0.158207 0.251275 0.855322 10000
1_10 1 10 500 9900 10000 12575 5886 6689 0.615144 0.515018 0.703251 0.214488 0.160888 0.261652 0.85962 10000
1_10 1 10 500 10000 10000 12542 5815 6727 0.625934 0.522817 0.715072 0.21314 0.155228 0.263201 0.8568 10000
1_10 1 10 500 10100 10000 12607 5686 6921 0.649783 0.545765 0.73524 0.207914 0.149463 0.255934 0.851038 10000
1_10 1 10 500 10200 10000 12481 5693 6788 0.648206 0.541453 0.737739 0.215161 0.157961 0.263134 0.85152 10000
1_10 1 10 500 10300 10000 12549 5920 6629 0.615597 0.509314 0.710513 0.211175 0.156282 0.260197 0.852703 10000
1_10 1 10 500 10400 10000 12569 5802 6767 0.635556 0.534083 0.722559 0.215801 0.159115 0.264404 0.854011 10000
1_10 1 10 500 10500 10000 12655 5725 6930 0.645739 0.5476 0.726814 0.211015 0.155643 0.256759 0.855919 10000
1_10 1 10 500 10600 10000 12525 5766 6759 0.62458 0.519846 0.713926 0.215267 0.165302 0.257892 0.847373 10000
1_10 1 10 500 10700 10000 12538 5733 6805 0.632639 0.532471 0.717027 0.214019 0.158221 0.261027 0.86267 10000
1_10 1 10 500 10800 10000 12560 5781 6779 0.621915 0.51089 0.716594 0.218164 0.160235 0.267565 0.857352 10000
1_10 1 10 500 10900 10000 12451 5723 6728 0.634687 0.544465 0.711431 0.210538 0.158208 0.255051 0.852927 10000
1_10 1 10 500 11000 10000 12551 5718 6833 0.633884 0.52781 0.722649 0.207018 0.150409 0.254389 0.8496 10000
1_10 1 10 500 11100 10000 12548 5701 6847 0.63987 0.533814 0.728175 0.208392 0.150007 0.257004 0.848869 10000
1_10 1 10 500 11200 10000 12557 5865 6692 0.614086 0.519695 0.696812 0.214048 0.158242 0.262958 0.861976 10000
1_10 1 10 500 11300 10000 12524 5794 6730 0.627382 0.519318 0.720416 0.209082 0.151164 0.258945 0.855902 10000
1_10 1 10 500 11400 10000 12671 5857 6814 0.6306 0.526775 0.719843 0.209962 0.154915 0.257277 0.848704 10000
1_10 1 10 500 11500 10000 12461 5688 6773 0.63401 0.54137 0.711809 0.21325 0.160613 0.257454 0.857045 10000
1_10 1 10 500 11600 10000 12614 5706 6908 0.646595 0.546716 0.729096 0.211332 0.159378 0.254246 0.862689 10000
1_10 1 10 500 11700 10000 12550 5819 6731 0.617847 0.516706 0.705284 0.211636 0.155633 0.26005 0.864521 10000
1_10 1 10 500 11800 10000 12613 5823 6790 0.62052 0.524042 0.703258 0.205654 0.150334 0.253096 0.851978 10000
1_10 1 10 500 11900 10000 12533 5700 6833 0.632967 0.533352 0.716064 0.215927 0.164122 0.259142 0.850274 10000
1_10 1 10 500 12000 10000 12602 5774 6828 0.6319 0.538433 0.710939 0.209406 0.153248 0.256894 0.85112 10000
1_10 1 10 500 12100 10000 12612 5854 6758 0.61814 0.521138 0.702166 0.206742 0.150696 0.25529 0.853007 10000
1_10 1 10 500 12200 10000 12617 5735 6882 0.628131 0.53219 0.708083 0.215232 0.161635 0.259897 0.853634 10000
1_10 1 10 500 12300 10000 12682 5828 6854 0.62587 0.533454 0.704451 0.205511 0.152673 0.25044 0.857248 10000
1_10 1 10 500 12400 10000 12644 5826 6818 0.620826 0.530117 0.698337 0.212476 0.159029 0.258146 0.857355 10000
