uid smoi rep sr update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 7900 10000 13301 5926 7375 0.61904 0.505345 0.710396 0.250661 0.19191 0.297869 0.865551 10000
1_10 1 10 500 8000 10000 13350 5851 7499 0.630878 0.527381 0.711631 0.246068 0.184366 0.294209 0.859495 10000
1_10 1 10 500 8100 10000 13196 5756 7440 0.633535 0.524842 0.717626 0.244351 0.179773 0.294313 0.856337 10000
1_10 1 10 500 8200 10000 13308 5819 7489 0.624448 0.51754 0.707516 0.244098 0.180917 0.29319 0.854819 10000
1_10 1 10 500 8300 10000 13137 5636 7501 0.64809 0.547353 0.723781 0.247245 0.181614 0.296559 0.860516 10000
1_10 1 10 500 8400 10000 13469 6046 7423 0.610688 0.496598 0.703613 0.243545 0.179196 0.295957 0.859004 10000
1_10 1 10 500 8500 10000 13318 5884 7434 0.620963 0.517644 0.70274 0.248181 0.183771 0.299161 0.862061 10000
1_10 1 10 500 8600 10000 13146 5722 7424 0.633628 0.52603 0.716558 0.247428 0.178546 0.300517 0.86414 10000
1_10 1 10 500 8700 10000 13242 5774 7468 0.632699 0.52561 0.715496 0.252138 0.192922 0.297922 0.863705 10000
1_10 1 10 500 8800 10000 13058 5611 7447 0.643832 0.546027 0.717524 0.244175 0.180467 0.292176 0.860487 10000
1_10 1 10 500 8900 10000 13176 5816 7360 0.6239 0.508842 0.714821 0.246312 0.182203 0.296972 0.859785 10000
1_10 1 10 500 9000 10000 13355 5904 7451 0.614935 0.516126 0.693229 0.24389 0.1861 0.289682 0.8533 10000
1_10 1 10 500 9100 10000 13098 5698 7400 0.645367 0.537281 0.728593 0.247862 0.186697 0.29496 0.86204 10000
1_10 1 10 500 9200 10000 13176 5671 7505 0.638103 0.53364 0.717039 0.246105 0.182581 0.294105 0.856895 10000
1_10 1 10 500 9300 10000 13226 5739 7487 0.631037 0.531025 0.707699 0.243083 0.178303 0.292739 0.858249 10000
1_10 1 10 500 9400 10000 13088 5660 7428 0.648421 0.541699 0.729741 0.247637 0.186846 0.293959 0.859996 10000
1_10 1 10 500 9500 10000 13230 5743 7487 0.647199 0.538354 0.73069 0.244886 0.179703 0.294885 0.859016 10000
1_10 1 10 500 9600 10000 13058 5708 7350 0.633508 0.528956 0.714704 0.253876 0.191279 0.302488 0.863689 10000
1_10 1 10 500 9700 10000 13200 5867 7333 0.612787 0.511935 0.693477 0.249077 0.188287 0.297714 0.860407 10000
1_10 1 10 500 9800 10000 13217 5788 7429 0.636785 0.536402 0.714995 0.248431 0.189467 0.29437 0.861862 10000
1_10 1 10 500 9900 10000 13175 5759 7416 0.635635 0.531773 0.716291 0.251368 0.191324 0.297996 0.861754 10000
1_10 1 10 500 10000 10000 13203 5786 7417 0.630358 0.530566 0.708206 0.245859 0.184957 0.293368 0.857538 10000
1_10 1 10 500 10100 10000 13092 5636 7456 0.652928 0.549464 0.731137 0.248211 0.184374 0.296466 0.851864 10000
1_10 1 10 500 10200 10000 13191 5713 7478 0.652044 0.536109 0.740615 0.246357 0.181556 0.295864 0.86018 10000
1_10 1 10 500 10300 10000 13284 5789 7495 0.626925 0.519258 0.710086 0.252327 0.190194 0.300318 0.86263 10000
1_10 1 10 500 10400 10000 13204 5738 7466 0.631943 0.523874 0.714999 0.245477 0.184004 0.292722 0.851849 10000
1_10 1 10 500 10500 10000 13196 5733 7463 0.648669 0.543301 0.729612 0.248194 0.184935 0.296789 0.862147 10000
