uid smoi rep sym_res_dis update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 8000 10000 13117 5648 7469 0.652446 0.542641 0.73548 0.245988 0.181073 0.295076 0.860438 10000
1_10 1 10 500 8100 10000 13213 5631 7582 0.651981 0.549724 0.727925 0.249728 0.191347 0.293085 0.864536 10000
1_10 1 10 500 8200 10000 13268 5832 7436 0.61631 0.512834 0.697465 0.248887 0.188036 0.296612 0.866396 10000
1_10 1 10 500 8300 10000 13153 5792 7361 0.632042 0.51571 0.723577 0.249532 0.183694 0.301336 0.85569 10000
1_10 1 10 500 8400 10000 13191 5746 7445 0.638121 0.535904 0.717012 0.246828 0.184288 0.295097 0.86089 10000
1_10 1 10 500 8500 10000 13164 5795 7369 0.628116 0.515262 0.716864 0.243742 0.176332 0.296752 0.859317 10000
1_10 1 10 500 8600 10000 13244 5806 7438 0.626462 0.519302 0.710109 0.249619 0.18648 0.298905 0.860823 10000
1_10 1 10 500 8700 10000 13343 5891 7452 0.624407 0.525058 0.702945 0.251008 0.191083 0.29838 0.860656 10000
1_10 1 10 500 8800 10000 13221 5698 7523 0.637339 0.535483 0.714486 0.24647 0.180392 0.296518 0.860768 10000
1_10 1 10 500 8900 10000 13142 5741 7401 0.639463 0.534939 0.720542 0.247641 0.184659 0.296496 0.860752 10000
1_10 1 10 500 9000 10000 13160 5770 7390 0.635407 0.524957 0.721645 0.248412 0.186883 0.296453 0.858791 10000
1_10 1 10 500 9100 10000 13215 5789 7426 0.63475 0.528812 0.717335 0.251668 0.193332 0.297144 0.859558 10000
1_10 1 10 500 9200 10000 13055 5622 7433 0.650807 0.548629 0.728089 0.250259 0.185871 0.298959 0.865975 10000
1_10 1 10 500 9300 10000 12988 5525 7463 0.658842 0.557633 0.733768 0.247701 0.188054 0.291858 0.857332 10000
1_10 1 10 500 9400 10000 13135 5649 7486 0.6435 0.539126 0.722262 0.244888 0.178362 0.295089 0.863554 10000
1_10 1 10 500 9500 10000 13287 5833 7454 0.625687 0.521976 0.706844 0.247442 0.183448 0.297519 0.864822 10000
1_10 1 10 500 9600 10000 13065 5710 7355 0.635404 0.529461 0.717651 0.250458 0.191701 0.296074 0.854572 10000
1_10 1 10 500 9700 10000 13291 5897 7394 0.624095 0.521754 0.705716 0.243383 0.181199 0.292977 0.859685 10000
1_10 1 10 500 9800 10000 13169 5714 7455 0.640084 0.531885 0.723015 0.251833 0.19186 0.297801 0.859873 10000
1_10 1 10 500 9900 10000 13038 5548 7490 0.650661 0.54198 0.731164 0.251508 0.18752 0.298905 0.86291 10000
1_10 1 10 500 10000 10000 13041 5651 7390 0.647289 0.551817 0.720296 0.245327 0.181572 0.294079 0.864321 10000
1_10 1 10 500 10100 10000 13192 5750 7442 0.61611 0.5071 0.700335 0.253899 0.192601 0.301261 0.863457 10000
1_10 1 10 500 10200 10000 13250 5816 7434 0.627803 0.511483 0.718805 0.24681 0.185462 0.294805 0.85994 10000
1_10 1 10 500 10300 10000 13146 5687 7459 0.645566 0.533383 0.731097 0.244588 0.174271 0.2982 0.86288 10000
1_10 1 10 500 10400 10000 13148 5752 7396 0.631557 0.522071 0.716707 0.246487 0.182678 0.296113 0.847794 10000
1_10 1 10 500 10500 10000 13238 5895 7343 0.627665 0.519898 0.71418 0.246947 0.186942 0.295119 0.862156 10000
1_10 1 10 500 10600 10000 13192 5709 7483 0.642441 0.537165 0.722759 0.247948 0.188772 0.293095 0.858409 10000
1_10 1 10 500 10700 10000 13213 5788 7425 0.63269 0.525341 0.716371 0.243617 0.180572 0.292763 0.857726 10000
1_10 1 10 500 10800 10000 13181 5766 7415 0.639884 0.529395 0.725801 0.25052 0.186221 0.30052 0.863654 10000
1_10 1 10 500 10900 10000 13340 5916 7424 0.620721 0.508939 0.709797 0.244885 0.181652 0.295273 0.856088 10000
1_10 1 10 500 11000 10000 13135 5680 7455 0.638881 0.530229 0.721662 0.24821 0.186633 0.295126 0.855975 10000
1_10 1 10 500 11100 10000 13314 5847 7467 0.622698 0.509948 0.710986 0.245542 0.179168 0.297516 0.867094 10000
1_10 1 10 500 11200 10000 13141 5687 7454 0.634925 0.526356 0.717757 0.242942 0.181552 0.289778 0.859266 10000
1_10 1 10 500 11300 10000 13231 5747 7484 0.637198 0.530706 0.718974 0.244273 0.184273 0.290348 0.858414 10000
1_10 1 10 500 11400 10000 13035 5649 7386 0.648627 0.543881 0.72874 0.250232 0.191028 0.295512 0.857895 10000
1_10 1 10 500 11500 10000 13143 5762 7381 0.648058 0.535547 0.73589 0.245779 0.186932 0.291718 0.854116 10000
1_10 1 10 500 11600 10000 13101 5774 7327 0.623179 0.51729 0.706623 0.247226 0.185332 0.296002 0.85395 10000
1_10 1 10 500 11700 10000 13235 5825 7410 0.628167 0.534043 0.702158 0.243665 0.188403 0.287107 0.855694 10000
1_10 1 10 500 11800 10000 13326 5958 7368 0.610607 0.506878 0.694485 0.244498 0.185455 0.292243 0.855213 10000
1_10 1 10 500 11900 10000 13263 5772 7491 0.63369 0.538067 0.707369 0.245686 0.185883 0.291766 0.864056 10000
1_10 1 10 500 12000 10000 13337 5921 7416 0.621746 0.51236 0.70908 0.249215 0.190656 0.29597 0.854902 10000
1_10 1 10 500 12100 10000 13111 5641 7470 0.640352 0.539944 0.716174 0.249216 0.186478 0.296592 0.857222 10000
1_10 1 10 500 12200 10000 13246 5878 7368 0.62614 0.52283 0.708558 0.249196 0.188144 0.297901 0.860453 10000
1_10 1 10 500 12300 10000 13242 5834 7408 0.615421 0.50553 0.701962 0.253433 0.193016 0.301013 0.85821 10000
1_10 1 10 500 12400 10000 13365 6011 7354 0.610284 0.499695 0.700676 0.252651 0.192154 0.3021 0.856783 10000
1_10 1 10 500 12500 10000 13053 5665 7388 0.631709 0.536047 0.705061 0.248978 0.18715 0.296386 0.84946 10000
1_10 1 10 500 12600 10000 13184 5747 7437 0.638814 0.534232 0.719631 0.2521 0.194378 0.296705 0.862933 10000
1_10 1 10 500 12700 10000 13169 5730 7439 0.645221 0.536951 0.728617 0.243993 0.179559 0.293624 0.853889 10000
1_10 1 10 500 12800 10000 13209 5769 7440 0.634048 0.526138 0.717721 0.248013 0.185238 0.296689 0.86249 10000
1_10 1 10 500 12900 10000 13422 5873 7549 0.633558 0.531602 0.712878 0.242979 0.181621 0.290714 0.858092 10000
1_10 1 10 500 13000 10000 13134 5718 7416 0.631403 0.529723 0.709801 0.247204 0.185159 0.295042 0.866072 10000
1_10 1 10 500 13100 10000 13330 5909 7421 0.614703 0.508601 0.699186 0.247343 0.183122 0.298479 0.858341 10000
1_10 1 10 500 13200 10000 13179 5725 7454 0.640142 0.537728 0.718801 0.24744 0.183853 0.296278 0.860944 10000
1_10 1 10 500 13300 10000 13213 5745 7468 0.641965 0.537318 0.722467 0.24918 0.188383 0.29595 0.860054 10000
1_10 1 10 500 13400 10000 13202 5740 7462 0.633285 0.533721 0.709874 0.245328 0.182755 0.29346 0.854641 10000
1_10 1 10 500 13500 10000 13162 5735 7427 0.634286 0.52993 0.714869 0.253988 0.196358 0.298488 0.861654 10000
1_10 1 10 500 13600 10000 13359 5928 7431 0.62437 0.523951 0.704478 0.250146 0.193577 0.295274 0.857378 10000
1_10 1 10 500 13700 10000 13131 5650 7481 0.639599 0.543385 0.712265 0.247349 0.186851 0.293041 0.852325 10000
1_10 1 10 500 13800 10000 13269 5740 7529 0.641826 0.536989 0.721752 0.251778 0.190442 0.29854 0.857693 10000
1_10 1 10 500 13900 10000 13044 5567 7477 0.65327 0.551887 0.728754 0.244838 0.182407 0.291321 0.861792 10000
1_10 1 10 500 14000 10000 13139 5761 7378 0.636829 0.53377 0.717301 0.247438 0.183609 0.297278 0.860598 10000
1_10 1 10 500 14100 10000 13266 5891 7375 0.617784 0.51412 0.700588 0.248046 0.184909 0.298479 0.86073 10000
1_10 1 10 500 14200 10000 13206 5828 7378 0.625062 0.512188 0.714223 0.253119 0.19195 0.301437 0.863881 10000
1_10 1 10 500 14300 10000 13197 5802 7395 0.629219 0.527514 0.709016 0.246692 0.188759 0.292146 0.860536 10000
1_10 1 10 500 14400 10000 13237 5861 7376 0.622014 0.51665 0.705736 0.247542 0.187046 0.295612 0.85077 10000
1_10 1 10 500 14500 10000 13266 5873 7393 0.620455 0.508687 0.709244 0.245953 0.179343 0.298868 0.857089 10000
1_10 1 10 500 14600 10000 13235 5821 7414 0.62668 0.525597 0.706044 0.24867 0.187129 0.296988 0.858226 10000
1_10 1 10 500 14700 10000 13088 5653 7435 0.649638 0.541959 0.731509 0.248003 0.187867 0.293726 0.855099 10000
1_10 1 10 500 14800 10000 13174 5760 7414 0.638177 0.528697 0.723234 0.249614 0.18269 0.301607 0.867665 10000
1_10 1 10 500 14900 10000 13299 5828 7471 0.638497 0.535933 0.718505 0.247426 0.187324 0.294311 0.865519 10000
1_10 1 10 500 15000 10000 13193 5638 7555 0.638284 0.545013 0.707888 0.253352 0.195141 0.296792 0.863896 10000
1_10 1 10 500 15100 10000 13133 5795 7338 0.633679 0.523183 0.720941 0.247742 0.181859 0.299771 0.855955 10000
1_10 1 10 500 15200 10000 13253 5863 7390 0.627661 0.515721 0.716471 0.246557 0.183885 0.29628 0.848245 10000
1_10 1 10 500 15300 10000 13229 5764 7465 0.650908 0.543574 0.733785 0.243745 0.180566 0.292528 0.858235 10000
1_10 1 10 500 15400 10000 13354 5961 7393 0.602885 0.49627 0.688849 0.251178 0.19118 0.299555 0.866699 10000
1_10 1 10 500 15500 10000 13286 5891 7395 0.623188 0.512006 0.711757 0.243295 0.176122 0.296806 0.862973 10000
1_10 1 10 500 15600 10000 13248 5877 7371 0.614019 0.499887 0.705018 0.243179 0.178548 0.29471 0.851319 10000
1_10 1 10 500 15700 10000 13209 5725 7484 0.646381 0.543236 0.725284 0.243855 0.181756 0.291358 0.854549 10000
1_10 1 10 500 15800 10000 13105 5645 7460 0.648572 0.547743 0.724869 0.245489 0.180992 0.294295 0.864691 10000
1_10 1 10 500 15900 10000 13301 5787 7514 0.633286 0.528872 0.713702 0.247131 0.180572 0.298392 0.865516 10000
1_10 1 10 500 16000 10000 13147 5647 7500 0.653793 0.545475 0.735348 0.252444 0.19334 0.296945 0.863416 10000
1_10 1 10 500 16100 10000 13147 5713 7434 0.637326 0.532169 0.718138 0.246339 0.183861 0.294354 0.855653 10000
1_10 1 10 500 16200 10000 13216 5924 7292 0.608115 0.50524 0.691691 0.250292 0.18911 0.299997 0.8608 10000
1_10 1 10 500 16300 10000 13243 5821 7422 0.641411 0.530784 0.728175 0.244088 0.178934 0.295187 0.856231 10000
1_10 1 10 500 16400 10000 13258 5870 7388 0.634572 0.529017 0.718438 0.245076 0.181455 0.295624 0.862599 10000
1_10 1 10 500 16500 10000 13177 5777 7400 0.62921 0.515856 0.717703 0.235416 0.167554 0.288394 0.853379 10000
1_10 1 10 500 16600 10000 13241 5812 7429 0.641408 0.528573 0.729683 0.24841 0.189189 0.294741 0.854082 10000
1_10 1 10 500 16700 10000 13180 5841 7339 0.620402 0.515736 0.703704 0.245494 0.188978 0.290474 0.850503 10000
1_10 1 10 500 16800 10000 13210 5833 7377 0.624281 0.510991 0.713859 0.249374 0.190076 0.296261 0.855126 10000
1_10 1 10 500 16900 10000 13131 5678 7453 0.633612 0.533854 0.709612 0.240394 0.176973 0.288711 0.857607 10000
